"date","key","value"
2001-01-31,"Europe",377812033
2001-01-31,"Nth America",434427931
2001-01-31,"Other",328351613
2001-02-28,"Asia",942852003
2001-02-28,"Australia",488759753
2001-02-28,"Europe",418403732
2001-02-28,"Nth America",390412402
2001-02-28,"Other",346751235
2001-03-31,"Asia",1006251531
2001-03-31,"Australia",535366614
2001-03-31,"Europe",515032197
2001-03-31,"Nth America",470334492
2001-03-31,"Other",403024395
2001-04-30,"Asia",982285045
2001-04-30,"Australia",465183670
2001-04-30,"Europe",462898050
2001-04-30,"Nth America",472138899
2001-04-30,"Other",423180871
2001-05-31,"Asia",1117997509
2001-05-31,"Australia",504509954
2001-05-31,"Europe",465198977
2001-05-31,"Nth America",631168627
2001-05-31,"Other",511564876
2001-06-30,"Asia",988498606
2001-06-30,"Australia",501532541
2001-06-30,"Europe",416544263
2001-06-30,"Nth America",503645907
2001-06-30,"Other",398228483
2001-07-31,"Asia",937622906
2001-07-31,"Australia",520618741
2001-07-31,"Europe",422366219
2001-07-31,"Nth America",477082980
2001-07-31,"Other",401634535
2001-08-31,"Asia",883830438
2001-08-31,"Australia",576231259
2001-08-31,"Europe",374189953
2001-08-31,"Nth America",435249242
2001-08-31,"Other",371647990
2001-09-30,"Asia",911077581
2001-09-30,"Australia",551163306
2001-09-30,"Europe",341483337
2001-09-30,"Nth America",407897990
2001-09-30,"Other",402827296
2001-10-31,"Asia",1010981137
2001-10-31,"Australia",534828506
2001-10-31,"Europe",355074579
2001-10-31,"Nth America",394083830
2001-10-31,"Other",431941922
2001-11-30,"Asia",912280488
2001-11-30,"Australia",584405278
2001-11-30,"Europe",324335001
2001-11-30,"Nth America",458093994
2001-11-30,"Other",390530367
2001-12-31,"Asia",902608671
2001-12-31,"Australia",534313068
2001-12-31,"Europe",358187255
2001-12-31,"Nth America",412572512
2001-12-31,"Other",352640026
2002-01-31,"Asia",678618715
2002-01-31,"Australia",452690949
2002-01-31,"Europe",417315549
2002-01-31,"Nth America",366657129
2002-01-31,"Other",346224642
2002-02-28,"Asia",862840804
2002-02-28,"Australia",516373446
2002-02-28,"Europe",447718149
2002-02-28,"Nth America",449775582
2002-02-28,"Other",346095151
2002-03-31,"Asia",934203217
2002-03-31,"Australia",579260102
2002-03-31,"Europe",502674655
2002-03-31,"Nth America",531984057
2002-03-31,"Other",445930871
2002-04-30,"Asia",903030633
2002-04-30,"Australia",451772447
2002-04-30,"Europe",482097313
2002-04-30,"Nth America",540985657
2002-04-30,"Other",394023848
2002-05-31,"Asia",986229606
2002-05-31,"Australia",541612894
2002-05-31,"Europe",468839622
2002-05-31,"Nth America",618500773
2002-05-31,"Other",478008656
2002-06-30,"Asia",873163678
2002-06-30,"Australia",492359423
2002-06-30,"Europe",373816679
2002-06-30,"Nth America",524474917
2002-06-30,"Other",352575296
2002-07-31,"Asia",841143525
2002-07-31,"Australia",528807577
2002-07-31,"Europe",366793514
2002-07-31,"Nth America",457869300
2002-07-31,"Other",354768489
2002-08-31,"Asia",789518323
2002-08-31,"Australia",559242232
2002-08-31,"Europe",349335536
2002-08-31,"Nth America",417610084
2002-08-31,"Other",272086203
2002-09-30,"Asia",855659995
2002-09-30,"Australia",528559069
2002-09-30,"Europe",344382837
2002-09-30,"Nth America",355090254
2002-09-30,"Other",344109052
2002-10-31,"Asia",821447198
2002-10-31,"Australia",545048923
2002-10-31,"Europe",411689967
2002-10-31,"Nth America",336028835
2002-10-31,"Other",355206132
2002-11-30,"Asia",753188974
2002-11-30,"Australia",551353261
2002-11-30,"Europe",336138725
2002-11-30,"Nth America",428190019
2002-11-30,"Other",382629276
2002-12-31,"Asia",804358854
2002-12-31,"Australia",483935065
2002-12-31,"Europe",364346863
2002-12-31,"Nth America",386562061
2002-12-31,"Other",348781759
2003-01-31,"Asia",738563608
2003-01-31,"Australia",382830104
2003-01-31,"Europe",317604897
2003-01-31,"Nth America",316680697
2003-01-31,"Other",283670104
2003-02-28,"Asia",730646823
2003-02-28,"Australia",470229402
2003-02-28,"Europe",419249124
2003-02-28,"Nth America",402539483
2003-02-28,"Other",287740718
2003-03-31,"Asia",897802256
2003-03-31,"Australia",529592477
2003-03-31,"Europe",484840990
2003-03-31,"Nth America",514478441
2003-03-31,"Other",339532938
2003-04-30,"Asia",755853887
2003-04-30,"Australia",481099690
2003-04-30,"Europe",447169621
2003-04-30,"Nth America",463694485
2003-04-30,"Other",346571494
2003-05-31,"Asia",835668195
2003-05-31,"Australia",504583006
2003-05-31,"Europe",489729672
2003-05-31,"Nth America",496972508
2003-05-31,"Other",417998388
2003-06-30,"Asia",715469208
2003-06-30,"Australia",493635428
2003-06-30,"Europe",363669977
2003-06-30,"Nth America",399544361
2003-06-30,"Other",289607982
2003-07-31,"Asia",677361479
2003-07-31,"Australia",600171863
2003-07-31,"Europe",342463086
2003-07-31,"Nth America",386209518
2003-07-31,"Other",295331206
2003-08-31,"Asia",705968851
2003-08-31,"Australia",548536025
2003-08-31,"Europe",337230427
2003-08-31,"Nth America",358477466
2003-08-31,"Other",351273048
2003-09-30,"Asia",709019918
2003-09-30,"Australia",538003965
2003-09-30,"Europe",323333040
2003-09-30,"Nth America",302868262
2003-09-30,"Other",327767560
2003-10-31,"Asia",718160951
2003-10-31,"Australia",543518689
2003-10-31,"Europe",368638210
2003-10-31,"Nth America",290070651
2003-10-31,"Other",370236447
2003-11-30,"Asia",718692238
2003-11-30,"Australia",546500357
2003-11-30,"Europe",403802364
2003-11-30,"Nth America",355011853
2003-11-30,"Other",367209800
2003-12-31,"Asia",706528740
2003-12-31,"Australia",487655553
2003-12-31,"Europe",346931923
2003-12-31,"Nth America",383373514
2003-12-31,"Other",369620388
2004-01-31,"Asia",675580266
2004-01-31,"Australia",385577498
2004-01-31,"Europe",309547765
2004-01-31,"Nth America",331819934
2004-01-31,"Other",330270832
2004-02-29,"Asia",808544456
2004-02-29,"Australia",499486223
2004-02-29,"Europe",487011889
2004-02-29,"Nth America",382057374
2004-02-29,"Other",327065044
2004-03-31,"Asia",909336253
2004-03-31,"Australia",586783904
2004-03-31,"Europe",489205813
2004-03-31,"Nth America",417233745
2004-03-31,"Other",379176335
2004-04-30,"Asia",874509327
2004-04-30,"Australia",539281907
2004-04-30,"Europe",446380134
2004-04-30,"Nth America",431049832
2004-04-30,"Other",400174407
2004-05-31,"Asia",1071069531
2004-05-31,"Australia",572417040
2004-05-31,"Europe",611406484
2004-05-31,"Nth America",612580891
2004-05-31,"Other",511009867
2004-06-30,"Asia",878990254
2004-06-30,"Australia",496257399
2004-06-30,"Europe",422228640
2004-06-30,"Nth America",527581670
2004-06-30,"Other",370834151
2004-07-31,"Asia",833030822
2004-07-31,"Australia",527751778
2004-07-31,"Europe",347979568
2004-07-31,"Nth America",403791580
2004-07-31,"Other",352693583
2004-08-31,"Asia",747132158
2004-08-31,"Australia",550689842
2004-08-31,"Europe",359123150
2004-08-31,"Nth America",380825930
2004-08-31,"Other",327870675
2004-09-30,"Asia",727057968
2004-09-30,"Australia",535946183
2004-09-30,"Europe",252539894
2004-09-30,"Nth America",317538227
2004-09-30,"Other",323671930
2004-10-31,"Asia",812137364
2004-10-31,"Australia",573662363
2004-10-31,"Europe",328898103
2004-10-31,"Nth America",331913449
2004-10-31,"Other",442612832
2004-11-30,"Asia",825281836
2004-11-30,"Australia",614298620
2004-11-30,"Europe",326317213
2004-11-30,"Nth America",406879033
2004-11-30,"Other",437062802
2004-12-31,"Asia",768939284
2004-12-31,"Australia",531320477
2004-12-31,"Europe",418023374
2004-12-31,"Nth America",417830517
2004-12-31,"Other",404617088
2005-01-31,"Asia",713530658
2005-01-31,"Australia",401628951
2005-01-31,"Europe",427130186
2005-01-31,"Nth America",351055826
2005-01-31,"Other",359081044
2005-02-28,"Asia",798319019
2005-02-28,"Australia",629383860
2005-02-28,"Europe",442237790
2005-02-28,"Nth America",420481397
2005-02-28,"Other",357874548
2005-03-31,"Asia",840367945
2005-03-31,"Australia",560155322
2005-03-31,"Europe",537365905
2005-03-31,"Nth America",503402237
2005-03-31,"Other",353033491
2005-04-30,"Asia",871757775
2005-04-30,"Australia",542407540
2005-04-30,"Europe",544641024
2005-04-30,"Nth America",447223930
2005-04-30,"Other",394973839
2005-05-31,"Asia",983059310
2005-05-31,"Australia",545000093
2005-05-31,"Europe",488819382
2005-05-31,"Nth America",439503351
2005-05-31,"Other",487314484
2005-06-30,"Asia",816995243
2005-06-30,"Australia",502512272
2005-06-30,"Europe",406636720
2005-06-30,"Nth America",405396021
2005-06-30,"Other",419177680
2005-07-31,"Asia",762221575
2005-07-31,"Australia",572831931
2005-07-31,"Europe",336912027
2005-07-31,"Nth America",397445677
2005-07-31,"Other",356852224
2005-08-31,"Asia",730589782
2005-08-31,"Australia",595566534
2005-08-31,"Europe",343081590
2005-08-31,"Nth America",324979526
2005-08-31,"Other",366696684
2005-09-30,"Asia",702179854
2005-09-30,"Australia",572964914
2005-09-30,"Europe",322907391
2005-09-30,"Nth America",356662725
2005-09-30,"Other",397794106
2005-10-31,"Asia",778793023
2005-10-31,"Australia",582201809
2005-10-31,"Europe",322641668
2005-10-31,"Nth America",345411415
2005-10-31,"Other",426649082
2005-11-30,"Asia",749258158
2005-11-30,"Australia",583072641
2005-11-30,"Europe",358397729
2005-11-30,"Nth America",425744344
2005-11-30,"Other",464011305
2005-12-31,"Asia",827080240
2005-12-31,"Australia",508527671
2005-12-31,"Europe",384505194
2005-12-31,"Nth America",483959269
2005-12-31,"Other",446897260
2006-01-31,"Asia",720157525
2006-01-31,"Australia",432187755
2006-01-31,"Europe",312499301
2006-01-31,"Nth America",322870572
2006-01-31,"Other",411383413
2006-02-28,"Asia",881036490
2006-02-28,"Australia",567896176
2006-02-28,"Europe",391038595
2006-02-28,"Nth America",347626309
2006-02-28,"Other",407537567
2006-03-31,"Asia",941039575
2006-03-31,"Australia",642214272
2006-03-31,"Europe",563471353
2006-03-31,"Nth America",502834039
2006-03-31,"Other",531674490
2006-04-30,"Asia",950000307
2006-04-30,"Australia",550391167
2006-04-30,"Europe",518063429
2006-04-30,"Nth America",465620648
2006-04-30,"Other",532889717
2006-05-31,"Asia",1194854358
2006-05-31,"Australia",602137964
2006-05-31,"Europe",767556205
2006-05-31,"Nth America",474475575
2006-05-31,"Other",600296677
2006-06-30,"Asia",974253930
2006-06-30,"Australia",594703179
2006-06-30,"Europe",453848773
2006-06-30,"Nth America",457418537
2006-06-30,"Other",491649683
2006-07-31,"Asia",923856388
2006-07-31,"Australia",632884049
2006-07-31,"Europe",456365289
2006-07-31,"Nth America",502441815
2006-07-31,"Other",504808564
2006-08-31,"Asia",854405242
2006-08-31,"Australia",641709043
2006-08-31,"Europe",428357153
2006-08-31,"Nth America",404013720
2006-08-31,"Other",404351678
2006-09-30,"Asia",874093037
2006-09-30,"Australia",629174841
2006-09-30,"Europe",404766910
2006-09-30,"Nth America",457500929
2006-09-30,"Other",458526962
2006-10-31,"Asia",899647694
2006-10-31,"Australia",618526727
2006-10-31,"Europe",397606517
2006-10-31,"Nth America",335974861
2006-10-31,"Other",465309007
2006-11-30,"Asia",934902084
2006-11-30,"Australia",611439386
2006-11-30,"Europe",364240720
2006-11-30,"Nth America",366983336
2006-11-30,"Other",511251175
2006-12-31,"Asia",929272292
2006-12-31,"Australia",559259673
2006-12-31,"Europe",490267643
2006-12-31,"Nth America",460833702
2006-12-31,"Other",507154683
2007-01-31,"Asia",807511079
2007-01-31,"Australia",467304427
2007-01-31,"Europe",386914590
2007-01-31,"Nth America",340403677
2007-01-31,"Other",481731033
2007-02-28,"Asia",973514610
2007-02-28,"Australia",525212602
2007-02-28,"Europe",483201883
2007-02-28,"Nth America",344090949
2007-02-28,"Other",521286861
2007-03-31,"Asia",983814295
2007-03-31,"Australia",693297045
2007-03-31,"Europe",543416857
2007-03-31,"Nth America",525317191
2007-03-31,"Other",567904766
2007-04-30,"Asia",1016381951
2007-04-30,"Australia",554360018
2007-04-30,"Europe",530895155
2007-04-30,"Nth America",457762076
2007-04-30,"Other",609982522
2007-05-31,"Asia",1131413852
2007-05-31,"Australia",643926666
2007-05-31,"Europe",486492243
2007-05-31,"Nth America",466011142
2007-05-31,"Other",622146796
2007-06-30,"Asia",910274737
2007-06-30,"Australia",632038847
2007-06-30,"Europe",391988057
2007-06-30,"Nth America",383251542
2007-06-30,"Other",421848710
2007-07-31,"Asia",822023083
2007-07-31,"Australia",604717302
2007-07-31,"Europe",380142826
2007-07-31,"Nth America",406786217
2007-07-31,"Other",426999355
2007-08-31,"Asia",808405047
2007-08-31,"Australia",755558303
2007-08-31,"Europe",378387784
2007-08-31,"Nth America",347714022
2007-08-31,"Other",370760758
2007-09-30,"Asia",963410256
2007-09-30,"Australia",711088697
2007-09-30,"Europe",455328652
2007-09-30,"Nth America",292728402
2007-09-30,"Other",510420612
2007-10-31,"Asia",1006968086
2007-10-31,"Australia",846955731
2007-10-31,"Europe",456686363
2007-10-31,"Nth America",419495742
2007-10-31,"Other",637814183
2007-11-30,"Asia",1166556293
2007-11-30,"Australia",793759798
2007-11-30,"Europe",374657849
2007-11-30,"Nth America",355966326
2007-11-30,"Other",677415830
2007-12-31,"Asia",1140407739
2007-12-31,"Australia",804803035
2007-12-31,"Europe",498128453
2007-12-31,"Nth America",413199588
2007-12-31,"Other",825739614
2008-01-31,"Asia",995623631
2008-01-31,"Australia",652912392
2008-01-31,"Europe",452065524
2008-01-31,"Nth America",317117700
2008-01-31,"Other",665769271
2008-02-29,"Asia",1158236120
2008-02-29,"Australia",799954202
2008-02-29,"Europe",573089242
2008-02-29,"Nth America",390588590
2008-02-29,"Other",777071389
2008-03-31,"Asia",1060420164
2008-03-31,"Australia",690275926
2008-03-31,"Europe",564447926
2008-03-31,"Nth America",403836218
2008-03-31,"Other",712333062
2008-04-30,"Asia",1240795964
2008-04-30,"Australia",866195054
2008-04-30,"Europe",614261769
2008-04-30,"Nth America",356036870
2008-04-30,"Other",748866144
2008-05-31,"Asia",1293971209
2008-05-31,"Australia",702204445
2008-05-31,"Europe",559302128
2008-05-31,"Nth America",477392968
2008-05-31,"Other",708396848
2008-06-30,"Asia",1108944298
2008-06-30,"Australia",953655849
2008-06-30,"Europe",476505487
2008-06-30,"Nth America",395430284
2008-06-30,"Other",659419688
2008-07-31,"Asia",1064765684
2008-07-31,"Australia",872123580
2008-07-31,"Europe",480030503
2008-07-31,"Nth America",449335545
2008-07-31,"Other",565660170
2008-08-31,"Asia",1084489153
2008-08-31,"Australia",1055930667
2008-08-31,"Europe",506666738
2008-08-31,"Nth America",331263006
2008-08-31,"Other",596413150
2008-09-30,"Asia",954813755
2008-09-30,"Australia",858472911
2008-09-30,"Europe",389464160
2008-09-30,"Nth America",332462791
2008-09-30,"Other",637788605
2008-10-31,"Asia",1268568673
2008-10-31,"Australia",943012009
2008-10-31,"Europe",436682099
2008-10-31,"Nth America",371378961
2008-10-31,"Other",806221291
2008-11-30,"Asia",1226394347
2008-11-30,"Australia",821219672
2008-11-30,"Europe",317854939
2008-11-30,"Nth America",536629863
2008-11-30,"Other",778497937
2008-12-31,"Asia",1181929730
2008-12-31,"Australia",788155346
2008-12-31,"Europe",516068223
2008-12-31,"Nth America",537741755
2008-12-31,"Other",815066889
2009-01-31,"Asia",1021993869
2009-01-31,"Australia",585745138
2009-01-31,"Europe",471978464
2009-01-31,"Nth America",476766969
2009-01-31,"Other",615718377
2009-02-28,"Asia",1045415434
2009-02-28,"Australia",702406975
2009-02-28,"Europe",614315603
2009-02-28,"Nth America",484801744
2009-02-28,"Other",594614806
2009-03-31,"Asia",1283057521
2009-03-31,"Australia",918653985
2009-03-31,"Europe",624434998
2009-03-31,"Nth America",508704502
2009-03-31,"Other",717789729
2009-04-30,"Asia",1244581559
2009-04-30,"Australia",687245605
2009-04-30,"Europe",602868048
2009-04-30,"Nth America",430358191
2009-04-30,"Other",676361156
2009-05-31,"Asia",1367212598
2009-05-31,"Australia",782260522
2009-05-31,"Europe",577297709
2009-05-31,"Nth America",466726252
2009-05-31,"Other",768981621
2009-06-30,"Asia",1087011028
2009-06-30,"Australia",710940392
2009-06-30,"Europe",418104139
2009-06-30,"Nth America",402471766
2009-06-30,"Other",614367939
2009-07-31,"Asia",1117328937
2009-07-31,"Australia",732359157
2009-07-31,"Europe",409813803
2009-07-31,"Nth America",334886715
2009-07-31,"Other",578292022
2009-08-31,"Asia",921851325
2009-08-31,"Australia",759932078
2009-08-31,"Europe",338704271
2009-08-31,"Nth America",216098604
2009-08-31,"Other",508292144
2009-09-30,"Asia",934567687
2009-09-30,"Australia",826331950
2009-09-30,"Europe",329425544
2009-09-30,"Nth America",232236429
2009-09-30,"Other",499612968
2009-10-31,"Asia",1005314367
2009-10-31,"Australia",763781129
2009-10-31,"Europe",380324263
2009-10-31,"Nth America",289594505
2009-10-31,"Other",516327767
2009-11-30,"Asia",1036121479
2009-11-30,"Australia",884118600
2009-11-30,"Europe",276652698
2009-11-30,"Nth America",290459236
2009-11-30,"Other",573632749
2009-12-31,"Asia",1314485573
2009-12-31,"Australia",787038059
2009-12-31,"Europe",391227510
2009-12-31,"Nth America",326629876
2009-12-31,"Other",593562146
2010-01-31,"Asia",1257462455
2010-01-31,"Australia",675595632
2010-01-31,"Europe",382442364
2010-01-31,"Nth America",256545005
2010-01-31,"Other",582403146
2010-02-28,"Asia",1177763835
2010-02-28,"Australia",747120528
2010-02-28,"Europe",461528144
2010-02-28,"Nth America",338874019
2010-02-28,"Other",594700653
2010-03-31,"Asia",1416486713
2010-03-31,"Australia",959900553
2010-03-31,"Europe",544932055
2010-03-31,"Nth America",422589390
2010-03-31,"Other",731710135
2010-04-30,"Asia",1441697236
2010-04-30,"Australia",736436951
2010-04-30,"Europe",552880342
2010-04-30,"Nth America",447469802
2010-04-30,"Other",781840329
2010-05-31,"Asia",1519936075
2010-05-31,"Australia",919965442
2010-05-31,"Europe",515889876
2010-05-31,"Nth America",485315955
2010-05-31,"Other",755916134
2010-06-30,"Asia",1396262376
2010-06-30,"Australia",867245662
2010-06-30,"Europe",412007802
2010-06-30,"Nth America",399980958
2010-06-30,"Other",717566178
2010-07-31,"Asia",1323421342
2010-07-31,"Australia",827150048
2010-07-31,"Europe",457417350
2010-07-31,"Nth America",353185014
2010-07-31,"Other",592202053
2010-08-31,"Asia",1030272220
2010-08-31,"Australia",885535817
2010-08-31,"Europe",345003325
2010-08-31,"Nth America",300591208
2010-08-31,"Other",568435638
2010-09-30,"Asia",1131109173
2010-09-30,"Australia",841636895
2010-09-30,"Europe",292231798
2010-09-30,"Nth America",272480643
2010-09-30,"Other",634206227
2010-10-31,"Asia",1302674881
2010-10-31,"Australia",883187143
2010-10-31,"Europe",367490101
2010-10-31,"Nth America",284084963
2010-10-31,"Other",845849327
2010-11-30,"Asia",1286582922
2010-11-30,"Australia",920331059
2010-11-30,"Europe",354817572
2010-11-30,"Nth America",333988304
2010-11-30,"Other",766467728
2010-12-31,"Asia",1447774500
2010-12-31,"Australia",769344992
2010-12-31,"Europe",459422684
2010-12-31,"Nth America",366601292
2010-12-31,"Other",785326578
2011-01-31,"Asia",1256430410
2011-01-31,"Australia",691427833
2011-01-31,"Europe",368858352
2011-01-31,"Nth America",307638113
2011-01-31,"Other",682021688
2011-02-28,"Asia",1519724720
2011-02-28,"Australia",846079915
2011-02-28,"Europe",434772766
2011-02-28,"Nth America",394067533
2011-02-28,"Other",665422716
2011-03-31,"Asia",1641583530
2011-03-31,"Australia",985342862
2011-03-31,"Europe",642114550
2011-03-31,"Nth America",477959706
2011-03-31,"Other",871681108
2011-04-30,"Asia",1745197625
2011-04-30,"Australia",851102786
2011-04-30,"Europe",635413259
2011-04-30,"Nth America",444820473
2011-04-30,"Other",1009177811
2011-05-31,"Asia",1629630667
2011-05-31,"Australia",963562718
2011-05-31,"Europe",602718224
2011-05-31,"Nth America",502714812
2011-05-31,"Other",919547589
2011-06-30,"Asia",1374715279
2011-06-30,"Australia",856896727
2011-06-30,"Europe",435913969
2011-06-30,"Nth America",439054185
2011-06-30,"Other",847861560
2011-07-31,"Asia",1303246183
2011-07-31,"Australia",900183916
2011-07-31,"Europe",408012147
2011-07-31,"Nth America",374325050
2011-07-31,"Other",721832219
2011-08-31,"Asia",1198056394
2011-08-31,"Australia",998947832
2011-08-31,"Europe",399211040
2011-08-31,"Nth America",288146992
2011-08-31,"Other",547045802
2011-09-30,"Asia",1205655569
2011-09-30,"Australia",899957156
2011-09-30,"Europe",386678759
2011-09-30,"Nth America",275571273
2011-09-30,"Other",673970063
2011-10-31,"Asia",1382286928
2011-10-31,"Australia",965426273
2011-10-31,"Europe",393562171
2011-10-31,"Nth America",356712179
2011-10-31,"Other",788562013
2011-11-30,"Asia",1382002545
2011-11-30,"Australia",928948467
2011-11-30,"Europe",351640832
2011-11-30,"Nth America",338671424
2011-11-30,"Other",906854082
2011-12-31,"Asia",1577610370
2011-12-31,"Australia",976910621
2011-12-31,"Europe",461712468
2011-12-31,"Nth America",400789056
2011-12-31,"Other",865773869
2012-01-31,"Asia",1487712484
2012-01-31,"Australia",726148441
2012-01-31,"Europe",368595823
2012-01-31,"Nth America",362962719
2012-01-31,"Other",781411427
2012-02-29,"Asia",1274991032
2012-02-29,"Australia",797398559
2012-02-29,"Europe",486481084
2012-02-29,"Nth America",394540084
2012-02-29,"Other",664558111
2012-03-31,"Asia",1637405682
2012-03-31,"Australia",818492542
2012-03-31,"Europe",483678938
2012-03-31,"Nth America",452118244
2012-03-31,"Other",815102362
2012-04-30,"Asia",1484348989
2012-04-30,"Australia",737188416
2012-04-30,"Europe",438760802
2012-04-30,"Nth America",444800731
2012-04-30,"Other",764599272
2012-05-31,"Asia",1637879404
2012-05-31,"Australia",896642793
2012-05-31,"Europe",470453484
2012-05-31,"Nth America",576264955
2012-05-31,"Other",849295505
2012-06-30,"Asia",1664843986
2012-06-30,"Australia",830209523
2012-06-30,"Europe",359624703
2012-06-30,"Nth America",456998704
2012-06-30,"Other",866249972
2012-07-31,"Asia",1512464436
2012-07-31,"Australia",883489745
2012-07-31,"Europe",365383482
2012-07-31,"Nth America",402239094
2012-07-31,"Other",880492338
2012-08-31,"Asia",1299766470
2012-08-31,"Australia",824653160
2012-08-31,"Europe",328777457
2012-08-31,"Nth America",286480385
2012-08-31,"Other",569779298
2012-09-30,"Asia",1233717096
2012-09-30,"Australia",811728754
2012-09-30,"Europe",363150212
2012-09-30,"Nth America",307308059
2012-09-30,"Other",571549143
2012-10-31,"Asia",1229572529
2012-10-31,"Australia",912942659
2012-10-31,"Europe",362725793
2012-10-31,"Nth America",320352099
2012-10-31,"Other",638137230
2012-11-30,"Asia",1598474209
2012-11-30,"Australia",828389946
2012-11-30,"Europe",304493528
2012-11-30,"Nth America",404818727
2012-11-30,"Other",691414728
2012-12-31,"Asia",1646538123
2012-12-31,"Australia",848622181
2012-12-31,"Europe",396831568
2012-12-31,"Nth America",440852283
2012-12-31,"Other",769153643
2013-01-31,"Asia",1393345246
2013-01-31,"Australia",636716315
2013-01-31,"Europe",333093388
2013-01-31,"Nth America",351358839
2013-01-31,"Other",632524193
2013-02-28,"Asia",1616757774
2013-02-28,"Australia",727072679
2013-02-28,"Europe",416014094
2013-02-28,"Nth America",432592691
2013-02-28,"Other",700615011
2013-03-31,"Asia",1838697085
2013-03-31,"Australia",814484829
2013-03-31,"Europe",474951049
2013-03-31,"Nth America",516524540
2013-03-31,"Other",763157178
2013-04-30,"Asia",1636453116
2013-04-30,"Australia",728997478
2013-04-30,"Europe",465910654
2013-04-30,"Nth America",367396894
2013-04-30,"Other",744231196
2013-05-31,"Asia",1584942344
2013-05-31,"Australia",749467644
2013-05-31,"Europe",500915671
2013-05-31,"Nth America",419437557
2013-05-31,"Other",820524014
2013-06-30,"Asia",1710749890
2013-06-30,"Australia",779841712
2013-06-30,"Europe",378293888
2013-06-30,"Nth America",419934327
2013-06-30,"Other",714990467
2013-07-31,"Asia",1592693308
2013-07-31,"Australia",740883801
2013-07-31,"Europe",445888981
2013-07-31,"Nth America",353640537
2013-07-31,"Other",694793017
2013-08-31,"Asia",1364573626
2013-08-31,"Australia",701824708
2013-08-31,"Europe",329543448
2013-08-31,"Nth America",312584343
2013-08-31,"Other",587937978
2013-09-30,"Asia",1697074337
2013-09-30,"Australia",845628629
2013-09-30,"Europe",370031016
2013-09-30,"Nth America",321226241
2013-09-30,"Other",583148866
2013-10-31,"Asia",2017617708
2013-10-31,"Australia",791750293
2013-10-31,"Europe",359393194
2013-10-31,"Nth America",346118785
2013-10-31,"Other",726158259
2013-11-30,"Asia",2131396244
2013-11-30,"Australia",845517781
2013-11-30,"Europe",333306849
2013-11-30,"Nth America",350134263
2013-11-30,"Other",781920977
2013-12-31,"Asia",2310935336
2013-12-31,"Australia",777172018
2013-12-31,"Europe",449571305
2013-12-31,"Nth America",411770335
2013-12-31,"Other",799442154
2014-01-31,"Asia",2113182849
2014-01-31,"Australia",561703098
2014-01-31,"Europe",387860193
2014-01-31,"Nth America",332469351
2014-01-31,"Other",672987250
2014-02-28,"Asia",2153838745
2014-02-28,"Australia",719734083
2014-02-28,"Europe",482546865
2014-02-28,"Nth America",428977722
2014-02-28,"Other",746352649
2014-03-31,"Asia",2162249068
2014-03-31,"Australia",780762479
2014-03-31,"Europe",601198505
2014-03-31,"Nth America",534178832
2014-03-31,"Other",954151850
2014-04-30,"Asia",1890751505
2014-04-30,"Australia",765724506
2014-04-30,"Europe",513993668
2014-04-30,"Nth America",422446776
2014-04-30,"Other",813572366
2014-05-31,"Asia",1984270908
2014-05-31,"Australia",667621370
2014-05-31,"Europe",489025952
2014-05-31,"Nth America",451819694
2014-05-31,"Other",981083909
2014-06-30,"Asia",1677909811
2014-06-30,"Australia",739627949
2014-06-30,"Europe",441696875
